feature,mean_importance
concave points_se,-0.009288930216986574
concavity_worst,-0.007195071422324903
concavity_mean,-0.006174067966172242
concave points_mean,-0.006072109354193539
perimeter_se,-0.002827496421622222
radius_se,-0.002549224161618821
perimeter_mean_ratio_texture_se,-0.0005477281383460028
radius_worst_ratio_concavity_worst,-0.0005255430418369178
texture_se,-0.00038453951339301325
smoothness_se,-0.00028448253756569174
perimeter_worst,-0.00012622938735731975
concavity_se,-0.00010321481605747168
smoothness_se_ratio_area_worst,-1.4744055602908257e-06
concavity_worst_diff_concave points_worst,0.00012834361998432657
radius_mean,0.00016268036150993566
symmetry_se,0.00018930826887835484
compactness_worst,0.00024086724108242225
fractal_dimension_mean,0.00032386048173816545
perimeter_mean,0.0004594823407014795
area_mean,0.000653615450356751
concave points_se_ratio_radius_worst,0.0007703124989579993
texture_mean,0.0008130653677773866
fractal_dimension_worst,0.0012168535289315996
symmetry_mean,0.0015288882087336614
compactness_mean,0.0026606585859317287
symmetry_worst,0.0038252959988212777
smoothness_mean,0.00460618116702243
texture_worst,0.008148990036638624
smoothness_worst,0.009383598044645303
compactness_se,0.010249173376248073
area_se,0.011318418266799374
radius_worst,0.011557842911962591
fractal_dimension_se,0.011703255701769218
fractal_dimension_se_sum_texture_mean,0.01232638502103408
concavity_se_ratio_area_se,0.013896556456083241
area_worst,0.02178921207205293
texture_worst_sum_texture_se,0.021802370104656587
area_mean_multiply_texture_mean,0.035676956637634163
concave points_worst,0.046316191918444424
area_mean_diff_radius_worst,0.05566079813919724
