feature,mean_importance
concavity_worst,-0.008331085094606188
concave points_mean,-0.008276671325639385
concave points_se,-0.005993518448320452
concavity_mean,-0.0029546968121352394
symmetry_se,-0.0015398216818009556
radius_se,-0.0012595887009772058
perimeter_se,-0.0011218584302856841
texture_se,-0.0007574443884267465
compactness_worst,-0.0003210304874255679
smoothness_se,-0.0003016552456492225
radius_mean,-0.00020999279740823302
fractal_dimension_worst,-0.0001140169868071958
area_mean,-1.3180769604044517e-05
perimeter_mean,4.962828591529439e-05
concavity_se,8.48309313036949e-05
perimeter_worst,0.0005928249559898041
random_feature,0.000658696639996953
symmetry_worst,0.0010013958134404408
smoothness_mean,0.0025387464739112507
symmetry_mean,0.002554754411675171
compactness_mean,0.0026094974656107285
fractal_dimension_mean,0.0028885805125255016
smoothness_worst,0.010490668005256155
fractal_dimension_se,0.018087636105759936
radius_worst,0.023506583427964783
texture_mean,0.025520641635126757
compactness_se,0.029790274789803572
concave points_worst,0.059809283967474515
area_se,0.06496880490184298
area_worst,0.07762364951344634
texture_worst,0.08641449764842282
