feature,mean_importance
smoothness_mean,-0.006359314225632859
radius_se,-0.006048575330395689
area_se,-0.004658275556982033
symmetry_se,-0.001666122309626189
smoothness_worst,-0.0007239648911341046
compactness_worst,-0.0005649564199121298
perimeter_mean,-4.0091071692108236e-05
symmetry_worst,0.00029104096145569637
compactness_mean,0.0004026971672370178
fractal_dimension_se,0.0006909522784802585
fractal_dimension_worst,0.0020613525624915974
fractal_dimension_mean,0.004072652435263313
concave points_worst,0.008475999672356377
concave points_mean,0.01635780495487808
concavity_worst,0.0164267439154087
texture_mean,0.017918356640213667
compactness_se,0.02537466526788228
perimeter_worst,0.025685747541169146
texture_worst,0.03315701645210907
area_worst,0.04740619115115251
