feature,mean_importance
symmetry_worst,-0.004718679993017017
fractal_dimension_worst,-0.00032088771736847875
perimeter_worst,-0.00029265719862277273
compactness_worst,1.398696345166206e-05
fractal_dimension_mean,6.56323375768042e-05
fractal_dimension_se,0.0009877346417938692
smoothness_worst,0.0010425099913152769
symmetry_se,0.0022819899435576442
smoothness_mean,0.0024582343318754695
compactness_mean,0.00440074325555802
perimeter_mean,0.00645062992352039
radius_se,0.0068172276208532
compactness_se,0.009246584948518178
concavity_worst,0.009578726737111404
texture_mean,0.02272128005604914
area_se,0.026179634164630743
concave points_worst,0.0504061958637543
concave points_mean,0.051458354010745624
texture_worst,0.1247421839823974
area_worst,0.17994971628054154
