feature,mean_importance
smoothness_mean,-0.008107376612157838
area_se,-0.0031603637004558567
concave points_worst,-0.002244584437187641
smoothness_worst,-0.0007810961271936201
perimeter_mean,-0.0003038926820990301
fractal_dimension_mean,0.0005110510028493775
compactness_worst,0.0015443230599505643
radius_se,0.0016037060650401585
fractal_dimension_worst,0.0025648383825586985
compactness_mean,0.0027979678906562945
symmetry_worst,0.004381114305720008
symmetry_se,0.00472019368433497
perimeter_worst,0.010113484402483502
concave points_mean,0.010492325429246298
concavity_worst,0.011071646427402401
compactness_se,0.015260870500418067
fractal_dimension_se,0.016307632311234315
texture_mean,0.03543826143436535
area_worst,0.03773517339418169
texture_worst,0.06740329464196049
