feature,mean_importance
compactness_worst,-0.012456747102426214
symmetry_worst,-0.004112236543162945
fractal_dimension_worst,-0.0034063804775592453
compactness_mean,-1.6653345369377347e-17
fractal_dimension_se,-1.1102230246251566e-17
texture_se,-5.551115123125783e-18
compactness_se,-5.551115123125783e-18
symmetry_se,0.0
concave points_se,0.0
symmetry_mean,0.0
fractal_dimension_mean,0.0002747956734543866
concavity_se,0.0003528167053151454
smoothness_worst,0.0006825387114245129
smoothness_mean,0.0006872651785350681
smoothness_se,0.0008750505188206137
perimeter_mean,0.0014366130308245406
perimeter_se,0.0026577816733115434
radius_se,0.010263773847272872
area_mean,0.012653214700247889
texture_mean,0.013428418241706874
concavity_mean,0.014910042543908769
texture_worst,0.017785430269492513
radius_mean,0.02373726313997871
radius_worst,0.028842228240570568
area_se,0.03319339618725207
concave points_worst,0.03510000475565142
concavity_worst,0.036998003144099526
area_worst,0.055446670967214874
concave points_mean,0.07690972575971038
perimeter_worst,0.08799838091111015
