feature,mean_importance
texture_mean,-0.02457816626324184
fractal_dimension_mean,-0.0087927536539399
texture_se,-0.007900436033926561
smoothness_mean,-0.006291275859989742
smoothness_se,-0.005300176889623998
radius_se,-0.001071881533832386
compactness_mean,-0.000774803912598776
fractal_dimension_se,-0.000727586423435167
compactness_se,-0.00043018546703865734
perimeter_se,0.0009044598095896417
symmetry_se,0.0012433437001786785
fractal_dimension_worst,0.001511739370633669
area_se,0.0016540419290899332
concavity_se,0.0027663654695696096
symmetry_mean,0.005427176276033896
compactness_worst,0.0056531492922192285
radius_mean,0.005956383441824198
symmetry_worst,0.005975142142235901
perimeter_mean,0.00927782621661839
concave points_se,0.009967674558714768
area_mean,0.010947004251892522
concavity_mean,0.014149968371203891
concavity_worst,0.015112365439667319
concave points_mean,0.015903221408444745
texture_worst,0.02749662695014867
area_worst,0.05035012414268773
perimeter_worst,0.053609118436419356
smoothness_worst,0.07675569197524552
radius_worst,0.08881613745512566
concave points_worst,0.12913815343549923
