feature,mean_importance
radius_mean,0.0
concave points_worst,0.0
compactness_worst,0.0
radius_worst,0.0
fractal_dimension_se,0.0
symmetry_se,0.0
concave points_se,0.0
concavity_se,0.0
compactness_se,0.0
perimeter_se,0.0
texture_se,0.0
smoothness_se,0.0
fractal_dimension_mean,0.0
perimeter_mean,0.0
smoothness_mean,0.0
compactness_mean,0.0
concavity_mean,0.0
area_mean,0.0
symmetry_mean,0.0
concave points_mean,0.0
fractal_dimension_worst,0.0
radius_se,0.040129926781524515
texture_worst,0.10101475461558969
smoothness_worst,0.11377479212812709
area_se,0.2654745149656298
texture_mean,0.27293949755825625
area_worst,0.3413243763769503
symmetry_worst,0.42612237256482216
concavity_worst,0.7930424665701805
perimeter_worst,0.847925972827636
