feature,mean_importance
symmetry_se,-0.006660036434501032
concave points_se,-0.006537410549468064
symmetry_mean,-0.005572357711791556
smoothness_se,-0.005151727777040024
radius_se,-0.002902353628770377
area_se,-0.002100173659427809
perimeter_se,-0.0010500868297139087
fractal_dimension_se,0.0001518555791472309
concavity_se,0.00015185557914723923
fractal_dimension_mean,0.0030113071343112335
texture_se,0.0032007546064540594
compactness_mean,0.0034429543582494755
area_worst,0.01048908085277699
compactness_se,0.010806464390563566
area_mean,0.012493203230980693
texture_mean,0.014671215766705065
fractal_dimension_worst,0.01586479597668488
perimeter_mean,0.021268970639531683
radius_mean,0.02317704173651129
concave points_mean,0.029682567501559686
symmetry_worst,0.03995562769014978
smoothness_mean,0.0711537003766761
concavity_mean,0.09089880504660162
perimeter_worst,0.09191966218220124
radius_worst,0.09262579087031972
compactness_worst,0.11590154038888678
concave points_worst,0.11789846623958489
concavity_worst,0.12065350572764673
smoothness_worst,0.12994518419452106
texture_worst,0.1528120898146494
