feature,mean_importance
random_feature,-0.008452419131511818
smoothness_mean,-0.007163938516595742
symmetry_mean,-0.002313657949093012
fractal_dimension_se,-0.0005175963853577381
concave points_se,-0.00045417180986942474
concavity_se,-0.00024334832816849672
concavity_mean,-0.00023597319681940566
smoothness_se,-0.00011336669919832509
compactness_worst,-7.694638071983895e-05
radius_mean,1.3308831778691133e-06
perimeter_mean,3.478203878776731e-05
fractal_dimension_mean,7.30356476098315e-05
perimeter_worst,0.0007004333376016414
perimeter_se,0.0008611343505244673
fractal_dimension_worst,0.0009944214411258534
concavity_worst,0.0012032336918839758
symmetry_se,0.0015930236829857169
symmetry_worst,0.0022459334541900912
compactness_se,0.003118805362504656
compactness_mean,0.004148161845686377
texture_se,0.004189389356754197
concave points_mean,0.004910936206664449
smoothness_worst,0.006355213896609241
area_worst,0.009415272997348484
area_mean,0.010934329498649458
area_se,0.014798306924869286
radius_worst,0.023438751567762338
texture_mean,0.026237737627051845
concave points_worst,0.0383743662776019
radius_se,0.039913673616460525
texture_worst,0.12265064223295334
