feature,mean_importance
fractal_dimension_mean,-0.012327651650477467
radius_se,-0.0039283187140904344
compactness_se,-0.0015440763947845882
fractal_dimension_worst,-0.001299276483329914
perimeter_mean,-0.0003687090451860775
fractal_dimension_se,8.873889972282889e-06
symmetry_se,0.00029217858901585126
compactness_mean,0.0011562297530853139
symmetry_worst,0.002095166828405259
compactness_worst,0.003887237104615865
texture_mean,0.007217182011592526
perimeter_worst,0.008382911084754169
concave points_mean,0.01199897247100919
smoothness_mean,0.01921662363854503
area_worst,0.0316961532254572
texture_worst,0.03444947291788539
smoothness_worst,0.03715953712022673
area_se,0.04247265591107379
concavity_worst,0.0435900435699222
concave points_worst,0.08575209102153764
