feature,mean_importance
radius_worst,-0.004504652931979075
compactness_se,-0.001971050592537765
fractal_dimension_mean,-0.0014996409968838387
symmetry_mean,-0.0007950309915128629
radius_mean,-0.0007523903201964221
perimeter_mean,-0.0003705917887683041
area_mean,-0.00028787579359781934
symmetry_se,-8.775205832575183e-05
concavity_se,1.0745030848596792e-05
fractal_dimension_worst,0.00015133130700324405
perimeter_se,0.0002829961910438716
smoothness_se,0.00029786050836089206
compactness_worst,0.0012476582414037707
concavity_mean,0.0015361434045494614
compactness_mean,0.0017500744861194794
concave points_mean,0.0019798858610015845
fractal_dimension_se,0.0019825293903916797
symmetry_worst,0.002736598125402029
texture_se,0.003951720317483693
concave points_se,0.004459550644611443
radius_se,0.004704304542939413
texture_mean,0.009593384799448278
smoothness_mean,0.014197484128662518
area_worst,0.015386931586307434
smoothness_worst,0.023885342234910113
area_se,0.02936779303858094
texture_worst,0.03761397683380096
concavity_worst,0.037723661895229625
concave points_worst,0.11565956241776913
perimeter_worst,0.18292745032452945
