feature,mean_importance
area_se,-0.005891747073522094
smoothness_worst,-0.003810213223566347
radius_se,-0.0021959068883961514
area_mean,-0.002100695045203602
texture_se,-0.002024229453359275
perimeter_se,-0.0013775601472237498
smoothness_mean,-0.0007603823085379519
fractal_dimension_mean,-0.0005702396908228103
symmetry_mean,-0.00016097615626000094
symmetry_se,0.00017126823307535565
concavity_se,0.0003011282766622103
compactness_worst,0.0005252271348891696
symmetry_worst,0.0006046743203833472
perimeter_mean,0.0007657396664913052
compactness_mean,0.0011406275365337588
radius_mean,0.0014421127380822214
smoothness_se,0.0014590876981839778
concavity_mean,0.0016687212139573943
fractal_dimension_worst,0.002654503513504597
concave points_se,0.0050315984634349
fractal_dimension_se,0.005765521713142457
radius_worst,0.0088021298647524
area_worst,0.00995215525789676
concavity_worst,0.010663909627761519
texture_mean,0.01291554157123144
compactness_se,0.020408343095267976
perimeter_worst,0.02306178075319587
concave points_mean,0.024383109078480097
concave points_worst,0.025916894845866224
texture_worst,0.04337199676318477
