feature,mean_importance
fractal_dimension_mean,-0.001011831486741066
compactness_se,-0.0007456226113290887
fractal_dimension_se,-0.000576726197028432
concavity_se,-0.00025959094268344083
symmetry_se,-0.0001632995271477422
smoothness_se,6.125657660552286e-05
texture_se,0.00025664502860180404
fractal_dimension_worst,0.0009611170641441235
concave points_se,0.0012356820368034705
symmetry_mean,0.0019623985525462685
compactness_mean,0.0020514893056713225
area_se,0.0021488092256981227
smoothness_mean,0.003471786438361146
perimeter_se,0.004006183706603139
compactness_worst,0.004185464484340063
symmetry_worst,0.005446909046533022
radius_se,0.005719844871077212
area_mean,0.006143605378755762
texture_mean,0.007777540605346184
area_worst,0.007924510409747103
concavity_worst,0.008995724797079562
radius_mean,0.00977627526950125
perimeter_mean,0.010066101770715374
concavity_mean,0.010794583289648241
smoothness_worst,0.011435750364457875
perimeter_worst,0.016446848581532215
texture_worst,0.01699619978384636
radius_worst,0.018229693665630365
concave points_mean,0.023365849128602206
concave points_worst,0.044680509505894646
