feature,mean_importance
texture_mean,-0.013838636431175397
symmetry_mean,-0.006220990448125937
smoothness_mean,-0.0033068622473848954
concave points_se,-0.0026845725488714527
fractal_dimension_se,-0.0016330620641838462
compactness_mean,-0.001077208309703026
area_mean,0.0002722364853080639
symmetry_se,0.000501616468955235
perimeter_mean,0.001163397839219732
radius_mean,0.0013441714728581217
smoothness_se,0.001691705155683057
texture_worst,0.001857443718815939
concavity_se,0.002485620497873167
texture_se,0.0033972392569401265
fractal_dimension_worst,0.004345385925523457
compactness_worst,0.007311468301695859
concavity_worst,0.009472004332514428
radius_worst,0.011010440283278636
symmetry_worst,0.012391867265468436
fractal_dimension_mean,0.013061423816289542
compactness_se,0.013897773675266146
smoothness_worst,0.01738015769104221
perimeter_worst,0.023971510430046524
area_worst,0.024688658779366025
perimeter_se,0.030146163487705192
concavity_mean,0.0487093981516382
radius_se,0.05361724811473125
area_se,0.058840033238488576
concave points_worst,0.0608172844949477
concave points_mean,0.08563062261637873
