feature,mean_importance
radius_worst,-0.007616669215871158
perimeter_mean,-0.001883046519052367
compactness_se,-0.001447904294572966
fractal_dimension_mean,-0.0006093420040033714
radius_mean,-0.00032393723061522884
area_mean,-0.00014282189678461733
fractal_dimension_se,-4.6438888196215224e-05
symmetry_se,2.3585520327984443e-05
symmetry_mean,4.724434915852616e-05
concavity_se,0.0001387539652419667
perimeter_se,0.0008240245792538126
smoothness_se,0.0008520256991533748
fractal_dimension_worst,0.0014083820262745018
compactness_worst,0.0015971964575649089
concavity_mean,0.0016378860184241672
concave points_mean,0.002809992386478438
concave points_se,0.0028489655335493303
compactness_mean,0.0029558840904499893
symmetry_worst,0.0030758442947538987
texture_mean,0.0034793989433645534
texture_se,0.004610114795426978
radius_se,0.005258350132941086
smoothness_mean,0.008656097983145677
area_worst,0.015000762167662846
area_se,0.02070076071605398
smoothness_worst,0.026589229670873016
concavity_worst,0.036973961953549746
texture_worst,0.04219684229957791
concave points_worst,0.10492305375368778
perimeter_worst,0.1824747596413026
