feature,mean_importance
radius_worst,-0.0020578987737569663
compactness_mean,-0.0015827494958306015
compactness_se,-0.00034616052940048827
concavity_mean,-0.0003319593853152808
smoothness_se,-0.00017143223927739147
concavity_se,-7.819870158152775e-05
perimeter_mean,0.0
area_mean,0.0
radius_mean,0.0001098886444507341
fractal_dimension_mean,0.00019176365862436928
symmetry_mean,0.00031162166748853747
fractal_dimension_se,0.0005014831260504143
symmetry_se,0.0007346081487177109
radius_se,0.000807988954817554
texture_se,0.000991068788091931
concave points_se,0.001159815323155594
fractal_dimension_worst,0.0018030647982788472
perimeter_se,0.0020949688614072233
compactness_worst,0.0028206934988060455
concave points_mean,0.003257379241506847
area_worst,0.0059683317411691
symmetry_worst,0.006008239603217916
texture_mean,0.006522130006376437
smoothness_mean,0.012151474819025579
smoothness_worst,0.021110841465894797
area_se,0.030968610887032223
concavity_worst,0.04692587787942852
perimeter_worst,0.0622819720104556
texture_worst,0.06621846246094827
concave points_worst,0.09185703669072075
