feature,mean_importance
concavity_worst,-0.003292501751987112
perimeter_se,-0.0022582936179442042
area_mean,-0.000510460093099363
symmetry_se,-0.00046726674921863107
smoothness_se,-0.00036558401237557215
concavity_mean,-2.614410711972992e-05
texture_se,0.00015498749294508009
concave points_se,0.0004186879050547987
concavity_se,0.0006937672748757479
radius_se,0.0007764971837719903
compactness_worst,0.0009843498630332848
fractal_dimension_se,0.001285356486510858
perimeter_mean,0.0013445699263214094
radius_mean,0.0019340870668046906
smoothness_mean,0.0020172602853588987
fractal_dimension_mean,0.0022619637857792863
symmetry_mean,0.0039291761990205756
symmetry_worst,0.005244022859021327
fractal_dimension_worst,0.005266050274923375
concave points_mean,0.005410503125049496
compactness_se,0.006078861905236305
compactness_mean,0.006810416085044874
radius_worst,0.0075645858850105245
area_se,0.009742700640052403
smoothness_worst,0.014109679672831072
perimeter_worst,0.01568304880978894
concave points_worst,0.01786044561638455
texture_mean,0.028235868205996918
texture_worst,0.040725043876341495
area_worst,0.05351319354170379
