feature,mean_importance
concavity_se,-0.0011720893468394667
fractal_dimension_worst,0.0
compactness_worst,0.0
fractal_dimension_se,0.0
symmetry_se,0.0
smoothness_mean,0.0
compactness_mean,0.0
concave points_se,0.0
symmetry_mean,0.0
compactness_se,0.0
texture_se,0.0
fractal_dimension_mean,0.00023769702789512294
symmetry_worst,0.0004142027880160437
smoothness_se,0.0005491201469346674
concavity_mean,0.0014636770725790615
smoothness_worst,0.0025214563273956436
radius_mean,0.0057740739957540255
area_mean,0.007954546907110987
radius_se,0.009549864070887686
perimeter_mean,0.0134173814623545
perimeter_se,0.014257693168885754
texture_worst,0.016395800040354874
texture_mean,0.0247117420256655
radius_worst,0.04312746658758804
area_worst,0.05328610719621511
concave points_mean,0.06526015533926002
area_se,0.0705988903221676
perimeter_worst,0.07070598470245529
concavity_worst,0.07585406345731979
concave points_worst,0.10920113078317195
