feature,shap_importance
perimeter_worst,0.13401877113647762
area_worst,0.07786145598676383
radius_worst,0.06511086828038475
concave points_worst,0.058386410826786105
concave points_mean,0.04032022927465751
concavity_worst,0.03145520841381552
area_se,0.019284261347231824
texture_mean,0.014203855248350187
concavity_mean,0.01292717842928933
texture_worst,0.01238357433839717
radius_se,0.010884101875757819
perimeter_mean,0.006892605511864818
compactness_worst,0.005976463984462752
smoothness_worst,0.0045482115498451875
perimeter_se,0.0026121163739571563
smoothness_mean,0.002515469783494545
area_mean,0.0015992211899315356
radius_mean,0.0012392390944965252
smoothness_se,0.0008811052488813347
fractal_dimension_se,0.00034206853759910017
