feature,mean_importance
symmetry_worst,-0.004648394788214277
symmetry_se,0.00022996708116502785
perimeter_se,0.0033673830312846375
texture_worst,0.00589497299332431
smoothness_worst,0.00636993264197439
radius_mean,0.008580701772081556
radius_se,0.012058991707950429
texture_mean,0.01380361992773892
concavity_worst,0.024333111985665356
area_se,0.026313302656208997
radius_worst,0.06224805446205549
area_worst,0.06495499851819855
concave points_mean,0.07741526357427846
concave points_worst,0.07772481300915726
perimeter_worst,0.09068521316978446
