feature,mean_importance
texture_se,-0.0013891429774798181
radius_mean,0.0
concavity_worst,0.0
fractal_dimension_se,0.0
symmetry_se,0.0
concave points_se,0.0
concavity_se,0.0
compactness_se,0.0
symmetry_worst,0.0
smoothness_se,0.0
perimeter_mean,0.0
fractal_dimension_mean,0.0
smoothness_mean,0.0
compactness_mean,0.0
concavity_mean,0.0
fractal_dimension_worst,0.0
symmetry_mean,0.0
compactness_worst,8.557852528133236e-05
smoothness_worst,0.00042990060158012435
perimeter_se,0.007816919651943689
radius_se,0.009038666555289076
area_se,0.009039653947803839
texture_worst,0.01312241052931487
area_mean,0.022539772891156433
radius_worst,0.06847280594650336
concave points_worst,0.08386657861218438
area_worst,0.08448529641843625
concave points_mean,0.087694728337696
perimeter_worst,0.10080097449676124
texture_mean,0.1472781707408551
