feature,mean_importance
concavity_worst,-0.016204831058173226
compactness_mean,-0.013824069839188912
concave points_se,-0.01100651751537517
concavity_mean,-0.010398385249645484
texture_se,-0.010131531327647523
smoothness_worst,-0.005176299958057057
compactness_worst,-0.00429455727790434
symmetry_se,-0.0042819994325957456
smoothness_mean,-0.0030864283799440424
concavity_se,-0.0029649414834998196
texture_mean,-0.0022430143335161494
perimeter_se,-0.0019456507425706982
area_se,-0.0015942963617036094
radius_se,-0.0010623038709120735
concave points_mean,0.0011559972310570016
smoothness_se,0.001721392843040126
fractal_dimension_worst,0.004055500454211131
symmetry_worst,0.007803508535459453
compactness_se,0.00933673151997764
fractal_dimension_se,0.012277220531845521
fractal_dimension_mean,0.02131035895969515
concave points_worst,0.045862705571351324
texture_worst,0.05044874441014985
symmetry_mean,0.06572136047777691
area_mean,0.1114620868958279
area_worst,0.11163130632246834
perimeter_mean,0.11505522626919226
radius_mean,0.11525633179700931
perimeter_worst,0.12234876834708282
radius_worst,0.12409801451768765
