feature,mean_importance
perimeter_se,-0.006659854971756296
radius_se,-0.004263689097318332
smoothness_worst,-0.0002282476048377724
area_se,0.0004403946171893297
symmetry_worst,0.0024427694010482337
texture_mean,0.0047630007120139815
radius_mean,0.005644699975945333
concavity_worst,0.0095257581678413
symmetry_se,0.012118324963410879
concave points_mean,0.013852087750779002
radius_worst,0.016058075207251384
perimeter_worst,0.017404596048381453
texture_worst,0.03345670413035862
area_worst,0.03694312565589465
concave points_worst,0.057625918072915464
