feature,mean_importance
fractal_dimension_mean,-0.0052339606096639315
texture_mean,-0.004984730653574359
concave points_se,-0.0017178130368975975
radius_mean,-0.00058042188229806
symmetry_mean,-0.00036709797322092284
area_mean,-0.00034440987866700136
radius_se,-0.00014255667584673614
concavity_mean,-0.00010149475337717929
perimeter_mean,-9.164611480253216e-05
compactness_worst,-6.910118767441964e-06
concavity_se,-1.7871203668029522e-07
texture_se,0.0
perimeter_se,0.0
fractal_dimension_se,0.00014624152442112293
symmetry_se,0.00019105178701198376
smoothness_se,0.0003659538534360379
fractal_dimension_worst,0.000709555768544845
compactness_mean,0.0023590157470008504
compactness_se,0.0025536461608648754
symmetry_worst,0.002838626972618788
radius_worst,0.005383391214589422
smoothness_mean,0.006795801013187675
perimeter_worst,0.00828761052751147
smoothness_worst,0.01092723221970065
area_worst,0.019810129404752793
concave points_worst,0.02077772292637212
concavity_worst,0.023852130826973524
area_se,0.024653747360879448
texture_worst,0.029000631210476385
concave points_mean,0.03390136054785485
