feature,mean_importance
texture_se,-0.02163690827862862
smoothness_se,-0.015358878878407044
smoothness_worst,-0.004990735356473958
symmetry_se,-0.004288176363043345
symmetry_mean,-0.0038526574846741548
smoothness_mean,-0.003569090529612534
symmetry_worst,-0.0012039180500656832
concavity_se,-0.000859591302599011
fractal_dimension_worst,2.6023700196764476e-05
compactness_se,4.928965035744803e-05
concave points_se,0.00040240459121879677
texture_mean,0.0005317379170175329
radius_mean,0.0020608129859201684
fractal_dimension_se,0.0025136274642862553
compactness_mean,0.006109167668251536
perimeter_mean,0.00811452101976537
compactness_worst,0.011024089177217988
area_mean,0.011678685654509136
fractal_dimension_mean,0.01190471391439819
texture_worst,0.019784084475131147
perimeter_worst,0.025150658327643856
radius_se,0.025588792947009324
area_se,0.02611466733902152
perimeter_se,0.02962071125267555
radius_worst,0.03449561819428588
concavity_worst,0.035055657114194096
area_worst,0.04466410475258035
concave points_mean,0.06533796728294897
concave points_worst,0.07564458367341223
concavity_mean,0.07987594459449576
