feature,mean_importance
concavity_worst,-0.19004262838513217
concavity_mean,-0.18859277911589967
compactness_mean,-0.18693261487929141
compactness_worst,-0.17612349539842245
texture_mean,-0.17465808881456782
smoothness_mean,-0.1442667361228195
smoothness_worst,-0.14238789471995414
symmetry_se,-0.1372737588359097
concave points_worst,-0.1261544509317565
fractal_dimension_mean,-0.1256358847818893
concave points_se,-0.11604503376791417
concave points_mean,-0.11253979784675186
symmetry_mean,-0.10243226702980435
texture_worst,-0.08968013964802714
texture_se,-0.07307278876284237
radius_se,-0.06899772241932513
fractal_dimension_worst,-0.0676146947372025
perimeter_se,-0.03584031436333152
area_se,-0.03249341128630615
area_mean,-0.02622212000089851
radius_mean,-0.022768148353462324
perimeter_mean,-0.02181411280497252
area_worst,-0.019754186128845674
perimeter_worst,-0.013898984753992571
radius_worst,-0.008718027282838303
smoothness_se,0.0011169084168237587
concavity_se,0.0012421893921621518
symmetry_worst,0.010180829669047087
compactness_se,0.037077963732535316
fractal_dimension_se,0.1439850595478526
