feature,mean_importance
texture_se,-0.005563383154321838
random_feature,-0.0035527014553829116
perimeter_se,-0.002202109324200463
radius_se,-0.0007552832888484129
concave points_worst,-0.0005197375176703046
concavity_se,-0.000151195627418399
symmetry_se,-9.86812144954552e-05
compactness_se,-4.3898406645487274e-05
fractal_dimension_se,-2.8467091181805237e-05
smoothness_se,2.4640624856908655e-06
concave points_se,8.61289222544026e-06
fractal_dimension_mean,2.5123339817295644e-05
smoothness_mean,3.423050268125394e-05
symmetry_worst,0.00010890177730507044
concave points_mean,0.00011339064736000104
compactness_mean,0.00011892718995423768
symmetry_mean,0.0001527972567793301
fractal_dimension_worst,0.0002595708570869215
smoothness_worst,0.00041992297694264937
compactness_worst,0.0009958229144264696
concavity_mean,0.0011681288459957973
area_mean,0.005924208530288033
concavity_worst,0.007900192744103413
perimeter_mean,0.011008611997668899
area_worst,0.013919538099343477
area_se,0.017691961101006227
texture_mean,0.017863305111183614
texture_worst,0.031109191983855568
radius_worst,0.04125729979708643
radius_mean,0.04535876943573575
perimeter_worst,0.04652268867046743
