feature,mean_importance
fractal_dimension_worst,-0.0005936348764905202
smoothness_se,-0.00015713680692603648
smoothness_mean,0.0
symmetry_mean,0.0013322389726218853
perimeter_mean,0.003402897515608952
area_mean,0.004143837360054648
symmetry_worst,0.006076734195521377
texture_mean,0.007783397238800588
radius_mean,0.0082195491140849
smoothness_worst,0.008348865197925614
texture_worst,0.011282878322640983
concave points_mean,0.011500407705603144
concavity_mean,0.017692038225344507
concavity_worst,0.01815288658080467
compactness_worst,0.0278744724118865
area_se,0.029504707521191657
perimeter_se,0.03220690468075443
radius_worst,0.049031265537990816
area_worst,0.07161534649824669
perimeter_worst,0.07945335422360478
concave points_worst,0.15153538109347106
