feature,mean_importance
symmetry_se,-0.0001779034473026714
compactness_se,-9.762392964789146e-05
concave points_se,7.024697290798354e-05
symmetry_mean,0.00013019282093284512
concavity_se,0.000349527790212531
smoothness_worst,0.0005951686768470327
compactness_mean,0.0026226926424692655
radius_se,0.004083168911489915
concave points_mean,0.005131826428789885
concave points_worst,0.00604127207107813
concavity_mean,0.009007186370838721
compactness_worst,0.012143590535226872
concavity_worst,0.02586463848626346
texture_mean,0.0396051764119279
radius_worst,0.11246701195699534
area_worst,0.12214397970242778
texture_worst,0.1477890781899634
area_se,0.16952349913800951
perimeter_worst,0.2515525140058189
