feature,mean_importance
compactness_worst,-0.007699523848727347
perimeter_mean,-0.006193833307036284
compactness_mean,-0.0019384417069930493
concave points_worst,-0.0009903113126875584
radius_se,-0.0006779507714467948
fractal_dimension_worst,-0.0003163814358064787
concave points_se,-2.2904439560200717e-05
symmetry_se,-7.810793408929984e-06
fractal_dimension_mean,-6.849803365444051e-06
smoothness_se,2.685755334798645e-05
fractal_dimension_se,6.886963189361439e-05
smoothness_mean,0.00023099928607420162
compactness_se,0.0002763207261790135
smoothness_worst,0.00036022783011707693
symmetry_mean,0.0005313620584468326
concavity_se,0.0007877675123865336
symmetry_worst,0.0017981855358709165
concave points_mean,0.0018421893714403114
radius_mean,0.0023140918188676697
concavity_mean,0.0032274865795667794
area_mean,0.004036144121385837
concavity_worst,0.00897087815811438
texture_se,0.06422020897408935
texture_mean,0.08076676037165839
area_worst,0.11655588298911382
radius_worst,0.13275997898127406
area_se,0.1584016194534373
perimeter_se,0.15901763750955783
perimeter_worst,0.18190323199667374
texture_worst,0.6293941473703232
