feature,mean_importance
smoothness_worst,-0.003326037083478545
concavity_worst,-0.0019593586597372536
concavity_mean,-0.0011176690546905454
concave points_se,0.0
symmetry_se,0.0
compactness_worst,0.0003009627058225439
compactness_se,0.00041757765938253976
radius_se,0.0004803012092323811
radius_worst,0.0005830671594423354
compactness_mean,0.0006154477377148249
area_se,0.0009709775184883696
concavity_se,0.0015766406716669235
symmetry_mean,0.0023676171460572325
texture_worst,0.006177708265535975
area_worst,0.010630682562203958
concave points_worst,0.016791210656656924
texture_mean,0.019906833412892667
concave points_mean,0.03081906063591732
perimeter_worst,0.06554232394870589
