feature,mean_importance
radius_worst,-0.013368816902340559
concave points_mean,-0.011962119860793739
perimeter_worst,-0.011674033625818347
area_se,-0.007206746108336923
radius_se,-0.006648163085748604
perimeter_se,-0.0038640440522474005
radius_mean,-0.0036842732064371166
concavity_mean,-0.0035688527704983543
smoothness_mean,-0.002438780541997404
fractal_dimension_worst,-0.002220375019481735
smoothness_worst,-0.001707134443362629
symmetry_worst,-0.0016562014095046983
compactness_mean,-0.0016540546901524123
concave points_se,-0.0008970590498681875
concavity_worst,-0.000597597800386962
concavity_se,-0.00013046745950466289
fractal_dimension_se,-7.257264107465855e-05
symmetry_se,-1.2235617374672935e-05
perimeter_mean,0.0
fractal_dimension_mean,0.0
texture_se,6.54791554381251e-05
area_mean,0.0006224371102528991
compactness_worst,0.0009726753774756403
smoothness_se,0.0012125922547762847
random_feature,0.0017702874898746167
symmetry_mean,0.0032371666535789823
compactness_se,0.003604275531902473
texture_mean,0.017983361563700083
texture_worst,0.0666895309360424
concave points_worst,0.07183977597831365
area_worst,0.09757445690975361
