feature,mean_importance
compactness_mean,-0.009155122126962633
concave points_se,-0.00832087784178189
fractal_dimension_mean,-0.0027556607451212274
symmetry_se,-0.0021441955424961632
compactness_se,-0.0015807258744773983
texture_se,-0.0011315884702309542
concavity_se,-0.0007477204313978442
symmetry_mean,-0.0004026028992874242
fractal_dimension_se,-0.00014022085760231895
smoothness_se,0.0
perimeter_mean,0.0
fractal_dimension_worst,0.0001439618221844463
radius_worst,0.00025531132504554575
perimeter_se,0.0002879490924810629
radius_mean,0.0005995508121226789
radius_se,0.0013213705759318102
compactness_worst,0.0023150832395047146
concavity_mean,0.0037253486575320434
area_mean,0.0074008455330927285
symmetry_worst,0.008875658873876095
smoothness_mean,0.010109128410147692
perimeter_worst,0.01210934488328695
smoothness_worst,0.014575948337421452
texture_worst,0.02089827672815383
texture_mean,0.02237136177101915
area_worst,0.029172425911487408
area_se,0.03186866627442041
concavity_worst,0.0383250388063191
concave points_worst,0.052754176588565495
concave points_mean,0.06600133789470419
