feature,mean_importance
texture_mean,-0.006520891844570687
concave points_worst,-0.0007931512592316947
fractal_dimension_worst,-0.00039037241068412554
smoothness_mean,-0.00035316230591455613
symmetry_mean,-0.00035026125520850606
concavity_se,-0.0003362689763595439
fractal_dimension_mean,-2.6207554622226236e-05
smoothness_se,-1.6597219452774147e-05
fractal_dimension_se,-1.6066523242552756e-05
concave points_se,1.5008173269293046e-05
symmetry_se,6.354709782946388e-05
compactness_mean,0.0001268819423184464
compactness_se,0.0003151129154546184
concave points_mean,0.00033642780932618965
concavity_mean,0.0003730129834863871
smoothness_worst,0.0004079956020444309
symmetry_worst,0.00045938281526507473
radius_se,0.000644713502046379
compactness_worst,0.001061654284131619
area_mean,0.0010632352326990558
concavity_worst,0.004951999407593444
area_se,0.005136361754217178
texture_worst,0.005602927195626983
perimeter_se,0.009015487282255463
perimeter_mean,0.01052462835426563
texture_se,0.01165566260831622
area_worst,0.013617728204292013
radius_mean,0.018235148854008475
radius_worst,0.02050826522518817
perimeter_worst,0.040753719425967394
