feature,shap_importance
perimeter_worst,0.13334233397679193
concave points_worst,0.12103555978634584
concave points_mean,0.06381072378388637
concavity_worst,0.042887304985107365
area_se,0.0304192596636157
radius_worst,0.020120258457951914
area_worst,0.01930101093048258
radius_se,0.017092446870558397
area_mean,0.013572078049953553
concavity_mean,0.007673969223472214
compactness_worst,0.006166859798769199
texture_worst,0.005235351606679638
smoothness_worst,0.004361535169469062
fractal_dimension_se,0.004125048162134713
perimeter_mean,0.0031487782398540104
smoothness_mean,0.003070574518128295
perimeter_se,0.0028261360392836474
concavity_se,0.0024251736474215487
smoothness_se,0.001889355831832903
fractal_dimension_worst,0.0012790915865233687
compactness_mean,0.0008937441245317424
fractal_dimension_mean,0.0006265885603022957
symmetry_se,0.0004271047092199144
texture_se,0.00023084112739624491
texture_mean,0.000168642446052517
symmetry_worst,0.0
radius_mean,0.0
concave points_se,0.0
symmetry_mean,0.0
compactness_se,0.0
